Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,multiple_deliveries,Festival,Time_taken,Travel_Distance,pickup_time,Vehicle_performance_Impact,rush_day
38,4.9,2,1,1,0,15.0,4.4,6.016614612409317,9,4
36,4.8,1,2,0,0,15.0,17.9,5.0,6,0
25,5.0,6,4,0,0,15.0,20.4,6.016614612409317,8,5
29,5.0,1,1,0,0,18.0,14.4,5.0,4,4
36,4.7,5,1,0,0,29.0,22.4,10.0,6,0
33,4.7,4,1,0,0,20.0,9.2,5.0,4,4
36,4.4,2,3,1,0,39.0,8.8,15.0,9,7
21,4.8,3,1,0,0,19.0,27.3,15.0,4,4
25,4.8,2,1,1,0,19.0,8.2,10.0,6,5
23,4.8,3,1,0,0,17.0,42.7,6.818829894063892,4,2
25,4.6,6,1,1,0,15.0,3.2,6.016614612409317,12,1
24,4.3,5,1,0,0,19.0,3.8,7.621045175718468,4,1
27,4.6,5,4,1,0,29.0,18.4,15.0,4,4
23,4.8,2,1,1,0,22.0,20.0,5.0,9,4
21,4.3,4,4,0,0,42.0,29.2,10.0,6,3
27,4.7,5,1,0,0,12.0,4.1,4.813291689927453,9,1
32,4.2,2,4,1,0,38.0,26.0,10.0,8,2
25,4.6,1,1,1,0,23.0,21.9,15.0,4,3
39,4.7,2,1,0,0,15.0,9.1,6.016614612409317,6,4
27,4.6,1,1,1,0,24.0,16.8,5.0,4,0
39,3.8,3,4,0,0,37.0,24.5,14.840982710609648,8,3
31,4.8,5,1,0,0,24.0,16.7,10.0,6,1
31,4.8,1,1,0,0,13.0,11.3,5.0,6,1
20,4.8,2,1,0,0,16.0,3.1,15.0,4,2
36,4.9,2,2,1,0,42.0,14.6,10.0,4,3
20,4.9,5,1,1,0,17.0,20.0,10.0,4,6
24,4.6,2,4,0,0,25.0,7.5,15.0,4,7
31,4.4,4,1,0,0,25.0,22.7,10.027691020682196,8,6
39,4.2,4,2,0,0,39.0,19.5,5.0,6,2
37,4.8,1,3,0,0,18.0,10.3,10.0,9,3
32,4.9,5,2,1,0,28.0,9.6,11.231013943164058,12,3
22,4.5,5,1,1,0,18.0,11.3,15.0,6,1
23,4.9,3,1,0,0,18.0,26.0,15.0,6,4
33,4.7,4,4,1,0,49.0,19.0,10.0,6,1
23,4.6,1,1,0,0,15.0,8.4,10.0,4,3
27,4.6,1,1,1,0,21.0,17.6,5.0,4,3
34,4.7,1,3,0,0,23.0,10.9,15.0,9,1
26,5.0,4,1,1,0,11.0,2.4,10.0,9,6
31,4.6,2,4,0,0,25.0,11.7,15.0,4,3
32,4.9,4,1,0,0,18.0,5.2,5.0,12,0
27,4.7,2,1,0,0,14.0,4.4,5.615506971582029,8,2
21,4.9,3,2,2,0,36.0,17.3,14.43987506978236,4,5
28,4.8,4,1,1,0,18.0,12.3,5.0,8,3
33,4.4,5,1,1,0,28.0,3.0,10.0,4,5
20,4.6,4,4,0,1,44.0,17.0,15.0,4,5
31,4.3,3,1,1,0,20.0,11.5,15.0,4,6
33,4.6,6,1,0,0,19.0,9.8,15.0,9,2
36,5.0,4,4,1,0,35.0,14.5,10.0,8,4
31,4.2,5,4,1,0,50.0,13.15,10.0,4,2
39,4.1,6,4,1,0,34.0,11.8,5.0,6,3
29,4.6,1,4,0,0,17.0,14.2,15.0,6,6
29,4.6,5,3,0,0,23.0,7.0,9.22547573902762,6,3
37,4.9,4,2,1,0,27.0,8.4,10.0,4,3
31,3.9,2,1,1,0,35.0,17.2,10.0,6,4
26,4.4,5,1,0,0,23.0,12.1,10.0,4,0
24,4.6,6,2,0,0,30.0,21.6,12.033229224818632,4,4
39,4.8,2,3,1,0,28.0,8.7,15.0,4,5
20,4.7,5,2,1,0,24.0,16.0,10.0,4,6
20,5.0,2,4,1,0,36.0,26.3,15.0,4,4
29,4.3,5,1,0,0,28.0,12.5,5.0,4,6
36,4.8,4,2,1,0,31.0,22.6,5.0,12,2
36,4.0,1,4,3,0,44.0,17.5,5.0,4,3
22,4.8,3,1,1,0,15.0,14.6,6.016614612409317,6,0
38,4.4,3,2,1,0,33.0,17.2,5.0,4,3
39,4.9,4,4,0,0,30.0,8.4,15.0,4,4
24,4.9,6,2,1,0,22.0,13.6,10.0,6,1
35,4.8,4,2,3,0,48.0,19.8,10.0,4,4
33,4.5,6,1,1,0,19.0,18.35,7.621045175718468,6,4
39,4.7,3,2,1,0,21.0,16.9,5.0,8,1
31,4.3,3,4,0,0,44.0,16.6,10.0,8,4
37,4.5,3,1,0,0,26.0,2.4,15.0,9,3
37,4.7,3,1,1,0,26.0,6.1,5.0,6,4
33,5.0,3,3,1,0,31.0,2.7,5.0,8,6
33,4.5,1,4,0,0,18.0,15.0,5.0,6,3
39,4.7,4,2,1,0,38.0,19.8,30.0,12,3
37,4.6,2,2,1,0,32.0,16.7,10.0,8,2
25,4.9,5,1,1,0,17.0,9.9,5.0,9,0
28,4.8,4,2,1,0,11.0,12.3,4.412184049100166,6,3
38,4.7,3,3,1,0,31.0,8.9,10.0,12,3
34,4.6,5,2,0,0,43.0,12.8,17.247628555573375,4,6
31,4.6,3,2,0,0,25.0,11.2,10.0,4,5
25,4.8,2,4,1,0,22.0,15.7,15.0,12,2
35,4.9,4,4,3,0,43.0,14.3,5.0,4,2
39,4.7,4,4,1,1,42.0,12.5,10.0,4,4
38,3.9,6,4,0,0,42.0,16.9,10.0,8,7
35,4.7,4,4,1,0,34.0,10.85,10.0,8,0
29,4.7,5,1,1,0,17.0,4.8,15.0,8,1
27,4.6,6,4,0,0,25.0,5.9,5.0,6,4
38,4.3,5,4,1,1,54.0,20.2,10.0,4,0
36,4.9,3,1,0,0,21.0,14.6,8.423260457373043,12,2
26,4.0,2,3,0,0,34.0,10.4,13.637659788127785,8,4
26,4.1,4,4,1,0,36.0,20.1,5.0,12,6
36,4.9,1,2,0,0,17.0,14.2,10.0,8,1
21,4.7,1,1,1,0,16.0,3.2,6.4177222532366045,4,3
35,4.7,1,4,1,0,27.0,15.6,10.82990630233677,6,2
20,4.5,4,3,1,0,26.0,9.5,5.0,12,4
23,4.6,4,4,2,1,46.0,21.6,15.0,4,3
37,5.0,1,4,0,0,29.0,15.2,10.0,4,4
26,4.8,5,4,1,0,23.0,14.9,5.0,4,3
29,5.0,5,1,0,0,11.0,15.6,4.412184049100166,6,6
26,4.9,6,2,0,0,28.0,22.4,15.0,8,4
29,4.8,2,4,1,0,25.0,13.9,5.0,4,5
29,4.7,5,1,0,0,11.0,5.2,4.412184049100166,12,3
21,4.9,3,2,1,0,26.0,6.0,10.0,6,2
22,4.3,6,1,1,0,23.0,5.0,15.0,4,0
31,4.0,4,2,2,0,39.0,28.6,15.0,8,4
20,4.5,4,1,0,0,11.0,4.9,4.412184049100166,8,6
30,3.9,6,4,0,0,32.0,16.5,15.0,6,3
36,4.8,4,2,1,0,43.0,16.0,15.0,4,6
24,4.7,4,2,0,0,13.0,10.0,10.0,6,5
32,4.7,3,1,0,0,25.0,2.5,10.0,6,0
25,5.0,3,2,0,0,27.0,22.8,5.0,8,6
27,4.5,3,2,1,0,29.0,10.6,15.0,9,0
32,4.1,5,2,1,0,33.0,12.9,15.0,4,2
23,4.7,4,2,1,0,19.0,8.2,7.621045175718468,8,3
39,4.4,1,2,1,0,33.0,24.0,5.0,4,2
20,4.8,3,2,0,0,15.0,18.2,10.0,6,5
29,4.6,6,4,1,0,29.0,6.7,15.0,6,2
26,4.9,6,1,1,0,18.0,28.4,7.21993753489118,9,1
25,5.0,6,1,1,0,14.0,2.0,5.615506971582029,8,6
34,4.7,3,2,1,0,30.0,8.8,12.033229224818632,8,6
31,4.9,1,3,0,0,28.0,7.8,15.0,4,6
30,4.9,2,2,0,0,30.0,22.3,12.033229224818632,12,5
36,4.8,5,2,1,0,36.0,37.4,5.0,4,7
36,4.4,4,1,1,0,37.0,25.1,15.0,4,1
26,4.7,2,4,1,0,43.0,27.6,5.0,4,5
30,4.6,1,1,1,0,29.0,20.6,10.0,9,6
33,4.7,4,2,1,0,15.0,8.6,6.016614612409317,6,3
34,4.0,3,4,2,0,39.0,24.5,5.0,4,5
36,4.6,3,1,1,0,20.0,19.1,10.0,4,0
33,4.6,4,1,1,0,15.0,4.0,6.016614612409317,8,4
22,4.8,5,1,1,0,16.0,27.3,6.4177222532366045,8,4
38,4.7,1,1,1,0,19.0,1.6,7.621045175718468,9,5
27,4.9,4,1,0,0,20.0,20.6,15.0,9,2
32,4.8,1,4,1,0,25.0,15.3,10.027691020682196,9,0
26,4.8,2,4,1,0,43.0,15.2,10.0,4,7
29,4.5,3,1,0,0,15.0,27.3,10.0,4,4
31,4.5,1,4,0,0,29.0,17.1,15.0,4,3
28,4.6,6,3,0,0,14.0,8.4,5.615506971582029,12,6
21,4.8,1,2,1,0,11.0,20.2,4.412184049100166,8,5
21,4.0,5,1,1,0,19.0,9.9,5.0,4,0
29,4.7,2,2,1,0,11.0,6.8,5.0,12,4
20,4.8,1,3,0,0,14.0,2.6,10.0,8,1
28,5.0,3,1,0,0,15.0,16.4,10.0,4,2
25,4.7,5,1,1,0,16.0,17.9,10.0,4,2
31,4.8,4,1,1,1,43.0,27.0,17.247628555573375,16,1
38,4.8,6,1,1,0,20.0,5.2,5.0,8,0
39,4.9,6,1,1,0,26.0,9.9,10.0,8,3
26,4.9,3,2,0,0,26.0,12.1,5.0,6,6
33,4.4,3,4,0,0,43.0,13.1,15.0,8,0
24,4.6,5,2,1,0,25.0,12.0,10.0,4,2
24,4.9,4,2,1,0,28.0,8.6,10.0,4,0
33,4.5,6,1,0,0,17.0,19.0,15.0,9,3
35,4.2,3,4,1,0,44.0,18.7,10.0,8,7
27,4.2,6,4,1,0,33.0,24.0,5.0,4,3
28,4.4,2,2,1,0,19.0,11.0,5.0,6,2
29,4.5,1,2,0,0,15.0,6.9,5.0,4,7
34,4.7,4,1,1,0,27.0,31.3,10.0,6,5
20,4.7,2,3,1,0,25.0,7.9,15.0,9,5
29,4.8,1,3,1,0,18.0,8.9,5.0,8,2
22,4.9,6,2,0,0,21.0,13.8,5.0,9,2
35,4.9,2,4,2,0,53.0,16.8,15.0,4,4
32,4.4,5,4,3,0,42.0,20.3,10.0,4,5
28,4.9,1,4,1,0,20.0,21.4,15.0,12,0
30,4.7,4,1,0,0,29.0,25.4,10.0,6,2
22,4.7,6,4,0,0,15.0,17.65,10.0,9,1
36,4.7,4,2,1,0,30.0,9.9,15.0,4,3
23,4.8,3,4,1,0,28.0,24.3,5.0,4,6
22,4.8,6,1,1,0,19.0,4.4,7.621045175718468,12,5
29,4.5,5,1,1,0,15.0,30.5,10.0,12,4
34,4.9,5,4,3,1,50.0,16.95,15.0,4,2
38,4.1,6,3,1,1,41.0,3.4,5.0,4,6
32,4.3,2,2,2,0,35.0,15.7,15.0,6,3
20,4.5,3,4,1,0,27.0,12.9,10.0,12,3
25,4.9,4,4,2,0,43.0,13.95,5.0,4,2
29,4.5,4,1,0,0,12.0,15.0,10.0,9,1
32,4.7,5,4,1,0,31.0,18.0,15.0,9,7
31,4.4,6,4,1,0,47.0,21.0,5.0,4,6
37,4.5,4,1,1,0,26.0,9.0,5.0,4,4
36,4.9,2,2,1,0,31.0,17.9,15.0,6,4
37,3.8,5,4,1,0,42.0,25.5,10.0,8,1
37,4.4,6,4,0,0,12.0,16.85,4.813291689927453,9,6
38,4.9,2,3,0,0,25.0,8.2,10.0,9,3
37,4.4,5,4,1,0,39.0,20.5,15.643197992264223,4,5
21,4.9,4,1,1,0,21.0,16.1,10.0,9,6
35,4.9,4,2,0,0,18.0,5.9,5.0,6,6
22,4.8,5,4,1,0,22.0,18.3,15.0,6,2
28,4.8,4,1,1,0,23.0,5.7,15.0,4,1
39,4.0,6,2,0,0,48.0,26.3,10.0,4,4
29,4.5,3,1,0,0,13.0,23.6,5.214399330754741,6,3
39,4.6,5,3,1,0,32.0,24.5,10.0,12,3
25,4.9,5,4,0,0,16.0,25.4,5.0,6,6
34,5.0,2,2,0,0,19.0,6.5,5.0,6,5
22,4.8,1,1,1,0,18.0,5.8,5.0,8,5
27,5.0,3,4,1,0,27.0,17.7,10.0,4,3
28,4.5,1,2,1,0,25.0,13.1,10.0,4,5
32,5.0,6,2,1,0,31.0,5.8,15.0,9,2
29,4.8,4,4,1,0,39.0,17.8,15.643197992264223,9,1
27,4.6,1,2,0,0,20.0,18.2,8.022152816545756,4,2
35,3.9,3,4,2,0,38.0,23.8,15.0,8,2
22,4.6,3,1,1,0,19.0,8.0,7.621045175718468,8,6
30,4.6,2,1,0,0,24.0,3.1,15.0,4,6
39,4.8,4,3,1,0,26.0,4.7,5.0,9,7
33,4.8,5,2,1,0,28.0,13.4,11.231013943164058,12,7
20,4.7,5,2,1,0,16.0,17.2,5.0,9,2
34,4.2,3,1,0,0,24.0,13.9,5.0,4,6
22,4.7,3,2,0,0,24.0,18.5,15.0,4,1
37,4.3,6,3,1,0,34.0,4.8,10.0,9,2
20,4.8,2,1,1,0,16.0,2.2,15.0,8,2
33,4.9,3,1,1,0,26.0,9.6,10.0,8,1
21,5.0,4,2,1,0,25.0,28.4,5.0,8,5
33,4.6,4,2,2,0,49.0,15.0,15.0,4,3
24,4.6,3,2,0,0,24.0,16.7,10.0,6,3
30,4.6,1,2,1,0,26.0,7.4,10.428798661509482,4,1
32,4.9,5,1,1,0,24.0,23.0,9.626583379854909,6,4
28,4.6,6,4,0,0,16.0,26.5,5.0,6,4
21,4.7,3,4,1,0,27.0,37.4,10.0,9,1
39,4.9,4,3,1,0,25.0,5.3,5.0,4,4
32,4.7,2,1,0,0,26.0,10.75,10.428798661509482,4,6
20,4.5,5,4,1,0,25.0,16.2,5.0,6,1
36,5.0,4,1,1,0,15.0,3.8,5.0,9,1
28,4.8,1,1,1,0,18.0,5.6,7.21993753489118,6,3
32,4.5,4,4,1,0,30.0,11.2,5.0,4,3
39,4.4,2,4,1,0,46.0,17.549,18.45095147805524,6,6
30,4.7,3,1,1,0,24.0,23.9,5.0,4,1
32,4.4,5,2,1,0,37.0,13.0,14.840982710609648,4,5
23,4.6,3,4,1,0,27.0,17.8,5.0,4,1
21,4.8,3,2,1,0,27.0,11.2,10.0,9,5
31,4.2,3,2,1,0,32.0,11.1,10.0,6,5
37,4.6,6,3,1,0,28.0,4.4,11.231013943164058,6,7
20,4.5,5,4,1,0,29.0,9.9,5.0,4,4
28,4.5,5,1,1,0,27.0,1.8,10.0,4,3
22,4.9,2,1,0,0,11.0,3.1,5.0,8,3
20,4.7,2,2,1,0,13.0,12.2,5.0,8,1
34,4.8,3,1,1,0,27.0,22.6,5.0,6,5
38,4.8,3,3,1,0,25.0,8.2,5.0,6,7
35,4.6,4,1,1,0,26.0,24.6,5.0,12,3
32,4.5,2,3,1,0,27.0,10.2,5.0,12,2
34,4.9,1,1,1,0,26.0,21.1,10.0,9,2
33,3.9,3,2,1,0,32.0,24.0,5.0,6,1
34,4.5,3,1,1,0,25.0,4.4,10.0,8,0
34,4.6,1,1,2,1,42.0,12.6,16.846520914746087,6,6
34,4.7,1,4,1,0,29.0,12.3,15.0,4,5
26,4.6,2,4,0,0,32.0,13.3,5.0,6,4
31,4.0,2,1,1,0,35.0,15.2,10.0,4,5
39,4.8,1,3,1,0,27.0,7.5,15.0,4,5
32,5.0,2,4,1,0,27.0,10.4,15.0,9,2
32,4.5,6,2,1,0,30.0,10.8,5.0,4,6
39,4.1,1,2,1,0,32.0,16.0,10.0,4,7
36,4.8,6,1,0,0,25.0,2.9,5.0,6,0
37,4.1,3,2,1,0,38.0,6.7,15.242090351436936,4,1
37,4.8,4,4,1,0,26.0,16.9,10.428798661509482,6,5
38,3.7,6,4,1,0,31.0,21.1,10.0,8,5
28,4.7,6,3,1,0,28.0,5.2,15.0,9,2
34,3.8,6,2,0,0,31.0,23.3,15.0,6,4
32,4.9,2,1,1,0,29.0,17.7,10.0,8,6
22,4.7,3,1,0,0,17.0,12.1,5.0,8,4
31,4.0,3,2,3,1,45.0,20.7,10.0,4,0
27,4.0,5,2,1,0,34.0,19.5,13.637659788127785,4,1
29,4.9,3,4,0,0,24.0,21.5,10.0,6,7
38,4.8,5,4,3,0,44.0,11.0,15.0,4,0
35,4.8,2,4,2,0,36.0,9.6,15.0,12,5
31,4.9,1,4,0,0,28.0,6.0,5.0,4,7
30,4.3,3,2,2,0,37.0,13.3,5.0,6,7
33,4.8,6,1,0,0,23.0,20.6,15.0,12,3
29,4.6,5,1,0,0,22.0,32.1,15.0,4,4
38,4.6,6,3,1,0,26.0,9.1,10.0,9,4
26,4.9,5,4,1,0,34.0,11.3,5.0,4,7
34,4.2,6,1,1,0,28.0,12.3,11.231013943164058,4,0
26,4.7,3,1,0,0,14.0,11.5,10.0,12,2
35,4.7,2,2,1,0,17.0,9.5,5.0,12,3
36,4.2,5,2,1,0,37.0,6.7,5.0,4,5
24,2.6,1,1,1,1,42.0,21.0,15.0,8,2
33,4.3,2,2,1,0,34.0,31.6,10.0,8,5
26,4.6,3,2,1,0,25.0,22.5,15.0,8,1
32,5.0,3,4,1,0,30.0,24.0,15.0,6,5
37,4.9,4,4,2,0,48.0,25.5,15.0,4,7
26,4.9,6,1,1,0,18.0,28.8,7.21993753489118,9,5
31,4.8,6,1,0,0,28.0,24.8,5.0,6,6
37,4.6,6,2,1,0,26.0,25.75,5.0,8,3
26,4.7,1,4,0,0,16.0,26.7,15.0,9,6
37,4.8,2,4,0,0,25.0,7.9,5.0,4,1
21,4.4,3,1,0,0,15.0,8.1,6.016614612409317,4,6
22,4.0,5,1,1,0,28.0,3.2,10.0,4,6
38,4.5,3,1,1,0,20.0,2.9,5.0,8,0
28,4.0,6,3,1,0,32.0,10.7,15.0,4,2
31,4.9,2,3,1,0,38.0,8.5,15.0,8,1
24,4.8,2,1,0,0,14.0,5.7,10.0,9,1
26,4.9,5,4,1,0,30.0,19.8,5.0,4,6
23,4.8,3,1,1,0,28.0,14.4,11.231013943164058,6,1
20,4.7,2,4,1,0,29.0,10.6,15.0,6,2
29,4.8,3,1,0,0,12.0,25.5,5.0,6,2
32,4.0,3,2,3,1,49.0,18.8,5.0,4,3
20,4.9,4,2,1,0,42.0,21.3,10.0,4,4
26,5.0,5,2,1,0,24.0,15.1,9.626583379854909,6,6
38,4.8,2,4,1,0,46.0,22.6,18.45095147805524,12,4
34,4.6,5,3,1,0,27.0,9.9,5.0,6,4
27,4.5,6,1,0,0,13.0,4.1,5.0,8,6
29,5.0,3,4,1,0,25.0,19.1,15.0,8,6
24,4.9,3,4,1,0,24.0,23.7,15.0,12,1
21,4.9,2,1,0,0,12.0,2.0,4.813291689927453,8,5
33,4.4,3,1,1,0,24.0,1.9,15.0,4,6
35,4.7,5,4,1,0,29.0,11.8,10.0,8,1
35,4.7,6,1,1,0,18.0,17.1,5.0,9,3
33,4.7,4,1,1,0,20.0,12.05,8.022152816545756,12,4
31,4.8,6,2,0,0,13.0,7.0,5.214399330754741,4,0
29,4.8,2,1,1,0,23.0,15.9,10.0,8,2
21,4.9,3,1,1,0,19.0,16.9,5.0,4,2
29,4.6,3,4,1,0,29.0,28.3,5.0,4,0
22,4.7,1,4,0,0,24.0,17.3,15.0,4,7
23,4.6,4,1,0,0,27.0,10.2,15.0,6,1
24,4.4,2,4,0,0,40.0,17.5,15.0,9,5
23,4.9,6,3,0,0,22.0,2.5,15.0,9,5
27,4.6,3,3,0,0,12.0,2.5,5.0,9,7
33,4.1,5,2,1,0,43.0,15.7,5.0,4,4
35,4.6,3,2,1,0,26.0,29.2,15.0,9,3
21,4.7,3,2,0,0,27.0,6.5,15.0,6,3
39,4.4,4,1,2,0,35.0,8.55,10.0,4,2
34,4.8,3,1,1,0,27.0,10.6,5.0,9,5
29,4.9,2,3,1,0,27.0,7.2,15.0,4,2
20,4.7,4,1,0,0,17.0,6.4,5.0,6,5
30,4.7,1,1,0,0,15.0,16.9,6.016614612409317,8,3
37,4.7,4,4,1,0,39.0,57.2,10.0,9,5
39,4.6,6,4,1,0,25.0,7.0,10.0,8,2
26,5.0,1,2,1,0,18.0,22.8,5.0,4,0
21,4.7,4,1,0,0,28.0,21.8,10.0,9,3
35,4.8,5,1,0,0,29.0,4.2,11.632121583991346,9,6
39,4.6,5,2,0,0,32.0,11.1,15.0,12,5
39,5.0,2,1,1,0,41.0,32.5,5.0,4,2
27,4.9,2,4,2,0,39.0,22.7,15.643197992264223,4,4
33,4.8,4,2,0,0,16.0,6.2,5.0,9,1
33,4.8,4,4,3,0,48.0,52.2,10.0,4,3
37,4.7,2,2,0,0,40.0,16.0,15.0,8,2
20,4.6,6,1,0,0,11.0,5.8,10.0,8,3
31,4.2,2,4,1,0,35.0,17.1,14.038767428955072,6,3
27,4.6,1,3,0,0,16.0,4.5,10.0,6,1
37,4.9,4,2,0,0,15.0,10.3,6.016614612409317,6,2
34,4.4,6,4,1,0,31.0,14.7,12.43433686564592,9,5
25,4.7,4,1,0,0,11.0,11.4,10.0,8,3
37,4.7,2,1,1,0,22.0,9.4,10.0,4,3
23,4.7,6,1,1,0,16.0,15.1,15.0,6,0
27,5.0,4,3,0,0,24.0,9.7,9.626583379854909,4,5
36,4.7,2,1,0,0,16.0,7.1,15.0,6,4
30,4.3,3,4,1,0,42.0,26.4,10.0,4,5
28,4.7,4,4,1,0,31.0,14.3,15.0,6,0
20,4.7,6,1,1,0,16.0,10.6,5.0,9,3
22,4.7,3,1,1,0,16.0,21.5,10.0,4,2
28,4.7,5,2,1,0,25.0,23.4,10.0,8,5
34,4.8,2,1,1,0,18.0,2.0,5.0,6,1
25,4.8,3,2,0,0,26.0,21.0,15.0,6,1
38,5.0,5,4,1,0,34.0,9.6,15.0,6,1
34,3.5,3,2,1,0,32.0,15.7,5.0,12,3
24,4.9,3,4,0,0,22.0,20.6,5.0,8,7
33,4.6,3,4,2,1,50.0,16.7,10.0,4,5
21,4.6,6,3,1,0,16.0,4.9,6.4177222532366045,6,4
25,4.6,6,2,0,0,23.0,12.5,10.0,4,1
23,4.9,3,3,1,0,19.0,8.4,5.0,4,1
34,4.9,6,1,1,0,25.0,12.0,15.0,8,3
25,4.7,4,2,1,0,37.0,18.6,5.0,9,4
28,4.9,5,1,0,0,10.0,18.4,5.0,6,5
34,3.7,6,4,1,0,34.0,23.3,10.0,6,6
24,4.5,6,1,1,0,14.0,33.4,10.0,6,1
31,5.0,2,4,1,0,26.0,17.0,5.0,8,1
38,4.6,5,4,1,0,30.0,12.8,10.0,6,1
32,4.8,1,2,0,0,17.0,37.0,15.0,8,2
28,5.0,5,2,0,0,29.0,15.3,11.632121583991346,4,0
29,4.5,4,2,1,0,37.0,17.1,14.840982710609648,4,3
28,4.8,5,4,0,0,23.0,14.65,9.22547573902762,6,3
39,4.8,3,4,1,0,30.0,12.2,12.033229224818632,8,5
26,4.8,3,1,0,0,14.0,3.8,5.615506971582029,9,5
33,4.8,6,1,1,0,28.0,9.5,10.0,6,3
37,4.9,5,4,0,0,27.0,6.4,15.0,6,5
30,4.8,4,1,0,0,24.0,13.3,9.626583379854909,12,2
