Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_performance_Impact,Festival,multiple_deliveries,pickup_time,Travel_Distance,Time_taken
21,4.5,1,3,6,0,1,10.0,2.8,12.0
27,4.1,3,1,3,0,1,10.0,7.1,16.0
35,4.3,6,2,9,0,2,10.0,10.7,33.0
38,4.6,6,1,3,0,2,10.0,24.0,29.0
27,4.8,3,4,3,0,1,10.0,11.7,16.0
35,4.0,5,1,3,0,1,15.0,4.9,32.0
38,4.8,2,1,6,0,1,15.0,3.9,18.0
34,4.8,4,2,8,0,2,15.0,15.0,19.0
30,4.6,1,4,3,0,2,5.0,12.4,22.0
20,4.3,2,4,8,0,2,10.0,36.25,37.0
21,4.7,2,4,3,1,3,5.0,17.7,48.0
23,4.3,2,4,12,0,1,15.0,10.0,32.0
26,4.1,4,4,12,0,2,15.0,16.7,36.0
28,5.0,1,3,6,0,1,8.0,12.0,11.0
33,4.4,2,4,8,0,2,10.0,29.1,42.0
35,4.1,5,1,3,0,1,15.0,2.4,31.0
35,4.7,1,3,6,0,1,10.0,7.5,24.0
35,4.6,3,4,3,1,4,15.0,15.5,45.0
29,4.8,3,4,3,0,2,10.0,18.8,30.0
36,4.7,1,3,6,0,1,15.0,6.0,23.0
33,4.7,4,3,8,0,2,10.0,6.9,26.0
31,4.8,1,2,6,0,1,8.0,12.7,19.0
37,4.7,2,2,8,0,2,10.0,9.4,18.0
28,4.4,4,1,12,0,2,5.0,7.9,41.0
21,4.9,6,2,3,0,2,15.0,22.8,24.0
36,4.6,4,2,3,0,2,10.0,7.1,31.0
26,4.5,5,4,8,0,2,5.0,15.0,26.0
29,4.8,2,3,6,0,2,5.0,8.9,22.0
35,4.3,3,1,9,0,2,10.0,18.2,29.0
36,4.8,5,1,12,0,2,15.0,27.6,20.0
32,4.3,3,4,8,0,2,10.0,5.8,32.0
34,4.7,3,2,6,0,2,12.0,13.4,30.0
26,4.8,6,4,8,0,1,10.0,9.9,24.0
35,4.5,3,1,9,0,2,5.0,5.3,27.0
39,4.4,2,1,3,1,2,5.0,27.5,42.0
26,4.8,4,4,6,0,3,5.0,19.1,36.0
34,4.5,2,2,8,0,2,5.0,7.0,19.0
38,4.7,1,1,6,0,1,8.0,4.2,14.0
36,5.0,6,1,12,0,2,15.0,22.3,25.0
35,4.9,2,2,3,1,1,15.0,22.8,42.0
26,4.8,5,4,3,0,2,8.0,24.7,25.0
35,4.3,1,4,3,0,2,5.0,23.2,36.0
39,4.9,6,4,3,0,4,15.0,22.0,45.0
21,4.5,2,1,6,0,2,5.0,19.7,21.0
23,4.8,1,4,8,0,2,10.0,17.8,17.0
27,4.8,2,3,8,0,2,10.0,2.4,32.0
36,4.7,5,4,3,0,2,10.0,17.9,35.0
22,4.6,5,2,8,0,2,15.0,9.0,29.0
37,4.7,1,1,6,0,2,15.0,5.4,18.0
35,4.7,1,3,12,0,2,15.0,8.8,23.0
21,4.8,3,1,6,0,1,8.0,2.2,12.0
29,4.6,3,2,3,0,2,15.0,14.2,33.0
25,4.5,6,2,8,0,2,10.0,16.5,28.0
38,4.6,3,1,6,0,2,15.0,12.4,24.0
34,5.0,1,2,6,0,2,15.0,7.0,19.0
30,4.8,5,1,6,0,2,5.0,2.6,24.0
32,4.2,6,2,8,0,2,12.0,14.9,32.0
26,4.7,3,1,8,0,2,5.0,22.0,19.0
39,4.3,6,4,12,0,3,10.0,22.5,42.0
35,4.0,6,3,3,0,2,10.0,2.1,31.0
31,5.0,4,1,8,0,2,15.0,7.6,17.0
34,4.8,5,1,6,0,1,5.0,3.4,23.0
26,4.8,4,2,3,0,2,10.0,7.5,21.0
24,4.6,3,2,8,0,2,15.0,16.7,24.0
32,4.6,4,1,3,0,2,8.0,10.0,27.0
31,4.9,4,1,12,0,2,10.0,15.6,28.0
31,4.7,5,3,8,0,2,4.0,17.4,10.0
27,4.8,6,3,3,0,2,8.0,4.3,24.0
26,4.8,5,1,6,0,2,5.0,17.3,16.0
34,4.8,6,3,8,0,2,15.0,5.9,27.0
36,4.7,6,1,12,0,2,5.0,18.3,28.0
20,5.0,5,1,6,0,1,7.0,12.8,10.0
31,4.7,2,2,3,0,2,5.0,25.9,39.0
24,4.7,4,4,3,0,2,15.0,16.8,39.0
25,4.9,2,1,12,0,2,5.0,27.3,26.0
33,4.6,1,2,8,0,2,5.0,11.8,23.0
21,4.8,5,4,6,0,1,10.0,24.1,17.0
34,4.8,1,1,3,0,2,5.0,13.2,23.0
22,4.7,1,4,3,0,2,15.0,5.3,29.0
23,4.7,4,4,3,0,2,15.0,28.7,42.0
27,4.8,5,3,3,0,2,10.0,27.25,18.0
38,4.7,1,2,3,0,2,5.0,18.3,26.0
22,4.6,5,4,6,0,1,15.0,24.7,28.0
22,4.4,4,2,6,0,1,10.0,22.7,39.0
20,5.0,2,3,6,0,1,5.0,9.1,22.0
23,4.7,3,1,12,0,1,8.0,12.1,11.0
34,4.9,6,1,8,0,2,5.0,14.9,24.0
24,4.7,4,2,8,0,2,10.0,9.5,15.0
26,4.7,5,2,3,0,3,10.0,12.1,38.0
29,4.7,5,4,8,0,2,10.0,17.0,22.0
22,4.6,6,3,9,0,2,15.0,8.4,17.0
35,4.4,4,4,12,0,2,10.0,24.9,39.0
38,4.7,4,4,9,0,2,10.0,29.5,39.0
38,4.9,6,1,6,0,2,10.0,13.5,26.0
22,4.9,5,4,3,0,2,15.0,5.8,29.0
38,4.5,1,2,8,0,2,15.0,7.4,22.0
33,4.9,4,4,12,0,2,15.0,20.1,40.0
22,4.6,5,4,12,0,2,10.0,9.2,27.0
34,4.4,3,4,12,0,2,6.0,29.1,35.0
28,4.9,4,4,3,0,2,10.0,25.7,36.0
38,5.0,3,2,12,0,1,5.0,11.8,26.0
36,4.8,3,1,6,0,1,5.0,9.5,26.0
27,4.7,3,4,12,0,1,15.0,11.1,27.0
27,4.8,3,4,6,0,2,15.0,24.4,27.0
26,5.0,2,1,3,0,2,15.0,5.6,18.0
32,4.7,5,2,6,0,2,10.0,26.6,28.0
38,4.9,6,4,6,0,2,10.0,13.5,30.0
36,5.0,2,2,12,0,2,15.0,14.2,31.0
21,4.6,2,1,3,0,2,15.0,4.7,24.0
22,4.9,3,2,3,0,1,5.0,8.1,24.0
36,4.4,2,3,12,0,2,15.0,8.8,39.0
20,4.4,4,4,6,0,2,15.0,12.9,33.0
34,5.0,1,1,12,0,2,10.0,5.9,18.0
34,4.8,4,4,6,0,2,15.0,24.1,35.0
31,4.0,2,2,8,0,2,15.0,11.4,33.0
24,4.7,5,2,8,0,2,5.0,13.3,21.0
36,4.9,1,1,3,0,2,10.0,1.9,24.0
21,4.9,4,1,3,0,2,15.0,24.6,21.0
37,4.7,2,1,3,0,2,10.0,24.5,39.0
37,4.7,4,3,3,0,2,15.0,7.4,26.0
36,4.6,4,2,6,0,3,15.0,15.5,44.0
35,4.9,2,3,3,0,1,13.0,8.1,32.0
35,5.0,6,4,3,0,2,15.0,14.1,36.0
25,4.8,4,2,3,0,1,10.0,13.85,29.0
33,4.7,1,1,9,0,1,5.0,28.5,25.0
36,4.1,4,4,6,0,2,10.0,25.6,38.0
23,4.7,1,3,6,0,1,10.0,2.3,13.0
29,4.9,3,1,6,0,1,10.0,2.1,14.0
31,3.9,5,2,12,0,2,10.0,22.05,38.0
29,4.9,6,2,6,0,1,15.0,11.4,29.0
39,4.6,2,1,3,0,2,5.0,2.4,26.0
33,4.5,4,2,3,0,2,15.0,6.2,29.0
20,4.8,2,1,8,0,2,5.0,23.6,20.0
29,4.3,6,4,3,0,2,10.0,14.0,38.0
20,4.9,2,4,12,0,1,10.0,12.3,25.0
37,4.8,2,1,6,0,1,10.0,4.1,16.0
22,4.7,6,1,3,0,1,15.0,16.0,18.0
28,4.8,4,1,3,0,1,5.0,4.9,15.0
39,5.0,2,1,12,0,2,5.0,12.3,18.0
22,4.8,2,1,9,0,1,10.0,5.5,13.0
31,3.8,6,4,6,0,2,10.0,20.2,44.0
24,4.7,1,2,6,0,2,15.0,10.9,16.0
24,4.9,2,2,3,0,3,15.0,21.6,41.0
34,4.6,4,1,16,0,1,5.0,25.9,21.0
37,4.6,3,1,3,0,2,5.0,30.2,27.0
24,4.9,5,1,6,0,2,15.0,25.5,19.0
34,4.7,1,4,8,0,2,5.0,11.7,19.0
28,4.2,6,4,3,0,3,10.0,18.8,33.0
29,4.5,4,1,6,0,1,8.0,10.3,11.0
35,4.3,5,2,3,0,2,15.0,15.2,33.0
26,4.9,6,4,12,0,1,12.0,22.7,29.0
27,4.5,5,4,3,0,1,15.0,18.9,29.0
33,4.8,6,4,12,0,2,15.0,12.6,29.0
20,4.9,6,2,12,0,2,10.0,13.9,29.0
30,4.6,3,2,6,0,2,5.0,16.8,28.0
22,4.9,2,2,12,0,1,12.0,22.4,28.0
36,4.7,1,1,3,0,2,7.0,9.8,20.0
23,4.7,4,3,6,0,1,15.0,5.5,28.0
36,4.5,2,3,3,0,2,8.0,7.0,27.0
30,4.7,5,4,12,0,1,15.0,5.8,29.0
30,4.8,1,1,6,0,2,4.0,4.5,10.0
27,4.9,5,4,12,0,2,15.0,22.9,28.0
20,4.5,4,2,9,0,1,13.0,6.0,14.0
32,4.3,5,1,3,0,2,5.0,12.6,31.0
36,4.3,6,1,3,0,2,15.0,5.8,26.0
30,4.6,4,2,3,0,2,15.0,16.6,34.0
38,4.9,4,1,12,0,2,8.0,4.2,15.0
38,4.7,3,3,9,0,2,10.0,4.0,26.0
38,4.9,1,1,8,0,1,10.0,16.1,15.0
31,4.6,3,2,3,0,1,15.0,17.5,40.0
26,4.6,5,2,12,0,1,5.0,18.8,38.0
38,4.7,4,1,3,0,2,12.0,6.2,21.0
37,4.4,6,4,12,0,2,15.0,10.3,34.0
31,4.9,5,3,12,0,2,10.0,13.1,33.0
29,4.9,2,1,8,0,1,5.0,11.1,12.0
38,4.5,6,2,12,0,2,10.0,33.9,36.0
39,4.6,4,2,6,0,2,7.0,14.4,19.0
25,4.6,3,4,6,0,2,12.0,11.3,18.0
32,5.0,3,2,6,0,2,15.0,19.6,20.0
39,4.6,3,4,12,0,2,15.0,6.6,30.0
38,4.9,4,2,8,0,1,6.0,12.9,16.0
30,4.8,5,2,6,0,1,12.0,12.0,30.0
22,4.9,2,2,12,0,2,10.0,10.0,18.0
27,4.6,4,1,16,0,2,12.0,14.7,16.0
30,4.2,3,4,3,0,3,12.0,16.1,51.5
36,4.7,3,4,12,0,2,10.0,25.9,28.0
24,5.0,6,2,3,0,1,15.0,7.6,21.0
24,4.9,6,2,8,0,2,10.0,13.6,22.0
39,4.8,2,4,9,0,3,15.0,12.5,35.0
39,4.2,3,1,3,0,2,10.0,2.6,22.0
33,4.7,2,1,12,0,2,15.0,15.3,30.0
33,4.9,4,1,9,0,2,5.0,23.8,22.0
33,5.0,3,2,6,0,1,5.0,6.9,28.0
35,4.7,2,2,6,0,1,8.0,19.8,38.0
38,4.7,5,4,3,0,2,10.0,12.4,41.0
30,4.2,4,2,6,0,1,10.0,16.4,37.0
24,4.7,6,4,3,0,2,15.0,22.0,27.0
24,5.0,3,3,12,0,1,10.0,9.0,12.0
32,4.4,2,1,12,0,1,10.0,23.5,31.0
23,4.7,5,2,3,0,2,15.0,22.1,24.0
32,4.9,6,4,8,0,2,12.0,5.3,28.0
33,5.0,2,1,6,0,1,8.0,18.4,28.0
23,2.7,1,1,12,0,2,15.0,20.9,37.0
26,4.2,6,3,3,0,2,15.0,8.5,38.0
37,4.8,4,3,3,0,2,5.0,8.7,27.0
34,4.4,4,2,8,0,1,10.0,25.6,32.0
37,4.8,2,2,3,1,2,15.0,36.25,43.0
33,4.4,4,1,12,0,2,10.0,29.5,32.0
27,4.8,5,4,3,0,2,5.0,25.1,25.0
33,4.8,6,1,12,0,2,5.0,16.1,28.0
27,5.0,1,1,12,0,2,15.0,26.4,28.0
20,4.0,3,1,3,0,2,7.0,3.6,18.0
27,4.5,3,1,3,0,2,15.0,26.7,21.0
38,4.8,4,2,3,0,1,10.0,15.7,27.0
27,4.6,2,1,9,0,2,4.0,4.2,10.0
26,5.0,2,2,6,0,1,10.0,17.0,28.0
29,4.7,1,4,9,0,1,5.0,7.0,12.0
22,4.6,1,4,8,0,1,5.0,30.0,11.0
35,4.4,4,2,9,0,2,15.0,24.2,43.0
22,4.8,6,1,3,0,1,10.0,13.0,15.0
23,4.9,4,2,8,0,1,10.0,18.45,25.0
27,4.8,2,2,3,0,2,12.0,9.2,25.0
24,4.0,4,2,9,0,2,15.0,25.7,36.0
21,4.8,4,4,12,0,1,10.0,12.1,24.0
35,4.9,6,4,8,0,1,5.0,16.6,32.0
27,4.1,3,1,3,0,2,15.0,4.1,17.0
26,4.7,4,4,12,0,2,5.0,11.1,24.0
22,3.3,1,1,6,0,1,5.0,22.1,35.0
21,4.7,5,2,9,0,2,10.0,17.3,22.0
26,4.6,4,2,8,0,2,8.0,23.6,31.0
28,4.7,1,4,6,0,1,10.0,14.9,12.0
31,4.3,3,1,3,0,2,15.0,11.5,20.0
31,5.0,6,4,3,0,1,10.0,13.9,36.0
36,4.8,6,1,3,0,2,15.0,24.0,24.0
39,4.8,3,4,3,0,2,15.0,18.4,35.0
31,4.9,3,3,6,0,2,10.0,5.6,30.0
39,4.7,4,4,3,0,2,10.0,25.2,42.0
29,4.0,2,3,12,0,1,10.0,8.1,32.0
39,4.6,3,1,8,0,2,5.0,22.5,26.0
26,4.9,4,4,3,0,3,15.0,29.3,42.0
22,4.5,2,1,6,0,1,15.0,16.0,24.0
28,4.6,4,4,6,0,2,15.0,8.6,29.0
22,5.0,2,3,8,0,2,15.0,7.9,25.0
23,4.7,6,4,8,0,2,5.0,17.3,22.0
31,4.9,2,4,3,0,4,10.0,23.6,49.0
23,4.9,6,1,12,0,1,5.0,12.1,16.0
26,4.7,6,1,8,0,1,8.0,12.9,19.0
37,4.1,2,1,3,0,1,5.0,29.45,43.0
26,4.9,6,2,8,0,1,10.0,3.35,27.0
33,4.6,5,4,6,0,2,5.0,13.5,29.0
24,4.9,1,2,6,0,1,5.0,5.8,16.0
28,4.8,1,4,9,0,2,10.0,32.2,15.0
20,4.7,6,3,6,0,1,12.0,5.8,15.0
35,4.5,6,4,6,0,2,15.0,13.5,25.0
22,4.5,5,1,3,0,2,5.0,5.6,18.0
31,4.7,5,1,8,0,2,5.0,4.3,22.0
35,4.6,3,1,6,0,1,12.0,27.9,15.0
33,4.7,1,2,12,0,2,10.0,10.3,23.0
21,4.9,3,1,12,0,2,11.0,2.1,15.0
21,4.3,4,2,8,0,2,10.0,24.4,32.0
30,4.8,1,1,12,0,2,5.0,22.4,26.0
21,4.1,2,2,12,0,1,10.0,36.25,38.0
25,3.1,1,1,6,0,2,15.0,17.6,42.0
24,5.0,3,1,8,0,1,10.0,4.2,15.0
37,4.8,2,2,3,0,2,15.0,25.6,39.0
26,4.8,2,3,3,0,1,5.0,3.8,21.0
34,4.8,5,4,6,0,2,5.0,20.6,29.0
22,4.4,6,3,3,1,2,10.0,10.4,39.0
26,4.8,2,4,6,0,1,10.0,23.0,42.0
31,4.6,1,4,3,0,2,15.0,17.95,29.0
33,4.1,3,1,3,0,2,15.0,4.7,22.0
29,4.8,3,4,8,0,2,10.0,20.9,29.0
39,4.6,1,4,3,0,2,10.0,8.3,21.0
35,5.0,4,4,9,0,2,5.0,6.7,27.0
32,4.6,1,3,8,0,1,15.0,4.4,22.0
27,4.5,2,1,3,0,2,10.0,19.4,22.0
29,4.6,6,4,9,0,2,8.0,6.7,29.0
22,4.8,2,4,8,0,3,15.0,19.7,36.0
36,4.7,3,1,8,0,2,15.0,31.2,24.0
32,4.9,3,2,6,0,1,5.0,20.1,27.0
25,4.7,1,1,3,0,2,15.0,17.1,23.0
21,4.9,3,3,12,0,2,12.0,9.5,16.0
26,4.9,3,1,3,0,2,5.0,36.25,21.0
27,4.8,6,2,8,0,2,5.0,6.6,22.0
28,4.7,2,1,12,0,2,12.0,15.0,27.0
33,4.0,3,3,8,0,1,5.0,9.1,34.0
22,4.6,4,4,3,0,2,5.0,12.8,24.0
29,4.3,2,4,6,0,1,10.0,19.9,35.0
36,4.6,5,1,12,0,2,5.0,22.7,21.0
24,4.7,2,1,3,0,1,5.0,25.7,24.0
27,4.8,4,1,9,0,2,5.0,8.5,13.0
21,4.5,6,3,6,0,1,5.0,2.6,28.0
28,4.7,6,3,8,0,1,10.0,10.4,19.0
32,4.8,1,4,8,0,2,10.0,27.6,29.0
36,4.8,2,4,9,0,2,15.0,17.8,35.0
36,5.0,2,3,3,0,2,5.0,7.8,33.0
38,3.5,6,4,8,0,2,5.0,17.4,44.0
33,4.6,3,3,3,0,3,10.0,9.9,41.0
24,4.9,4,4,6,0,2,15.0,10.0,27.0
22,4.6,1,2,9,0,2,12.0,24.3,19.0
29,4.9,4,4,12,0,2,10.0,15.0,37.0
33,4.8,1,4,6,0,2,5.0,36.25,15.0
22,4.3,6,1,3,0,2,5.0,5.0,23.0
35,4.8,4,4,3,0,4,15.0,15.6,46.0
31,4.8,1,1,3,0,2,5.0,6.9,26.0
28,4.4,5,1,3,0,2,10.0,14.4,28.0
26,4.0,6,1,3,0,2,5.0,13.0,22.0
25,4.6,4,2,6,0,1,5.0,10.8,16.0
26,4.8,4,3,3,0,1,8.0,4.6,23.0
26,4.6,3,4,6,0,1,10.0,19.1,25.0
31,3.4,1,1,3,0,2,5.0,17.8,31.0
34,4.7,6,4,3,0,3,15.0,21.1,41.0
31,4.4,2,4,6,0,3,10.0,25.6,38.0
24,4.7,2,1,8,0,2,10.0,7.1,13.0
26,4.7,6,1,3,0,2,10.0,36.25,18.0
20,4.4,5,1,3,0,2,15.0,13.4,19.0
25,4.7,3,1,9,0,2,5.0,3.4,17.0
20,4.3,1,3,3,0,3,12.0,10.2,51.5
20,5.0,1,4,6,0,2,12.0,16.6,14.0
23,4.9,3,2,12,0,2,15.0,11.2,21.0
20,4.7,5,4,12,0,2,15.0,12.8,18.0
38,5.0,4,3,6,0,2,10.0,2.0,25.0
38,4.4,5,4,8,0,2,15.0,11.6,34.0
26,4.9,6,3,6,0,2,5.0,5.7,21.0
27,5.0,6,1,3,0,1,10.0,14.8,18.0
36,5.0,6,4,3,0,1,5.0,25.1,39.0
36,4.8,6,4,3,0,2,10.0,28.2,44.0
23,5.0,6,2,3,0,2,5.0,25.7,29.0
37,4.3,4,4,6,0,2,5.0,25.5,36.0
25,5.0,6,2,3,0,2,15.0,8.65,26.0
20,4.9,1,1,12,0,1,12.0,1.6,16.0
20,4.7,6,4,12,0,1,8.0,11.2,10.0
26,5.0,4,1,3,0,1,10.0,21.3,21.0
28,5.0,2,4,6,0,2,5.0,16.5,42.0
27,5.0,3,4,12,0,2,10.0,18.1,26.0
31,4.2,3,3,3,1,3,15.0,11.1,43.0
21,5.0,1,2,3,0,2,7.0,16.8,24.0
39,4.8,2,4,3,0,2,10.0,11.5,25.0
32,4.1,6,1,3,0,2,15.0,4.0,26.0
26,4.6,3,3,12,0,1,5.0,7.3,21.0
38,4.6,5,4,3,0,2,15.0,15.7,46.0
22,4.6,1,4,6,0,1,14.0,6.4,15.0
29,5.0,3,3,6,0,2,15.0,8.4,24.0
31,4.2,5,4,3,0,2,10.0,13.15,50.0
24,4.9,4,4,8,0,1,10.0,9.5,31.0
29,4.9,4,1,12,0,1,15.0,4.1,16.0
27,4.9,5,4,6,0,2,5.0,12.5,24.0
34,4.5,3,1,6,0,1,5.0,5.6,20.0
38,4.4,3,1,3,0,2,12.0,4.0,29.0
30,5.0,2,1,3,0,2,15.0,6.7,28.0
39,4.6,4,4,6,0,3,15.0,10.4,38.0
29,4.6,4,4,8,0,2,15.0,7.0,30.0
32,4.2,2,4,6,0,2,10.0,18.6,43.0
22,4.7,1,1,6,0,2,5.0,8.5,23.0
28,4.8,4,4,6,0,1,5.0,14.8,21.0
33,4.8,6,4,3,0,2,15.0,6.7,21.0
23,4.8,3,3,8,0,2,5.0,2.2,15.0
29,4.6,3,2,12,0,2,10.0,9.2,24.0
37,4.3,2,4,12,0,1,10.0,24.0,41.0
22,4.4,4,4,6,0,3,10.0,24.3,39.0
26,4.9,3,3,8,0,1,15.0,8.4,18.0
32,5.0,1,1,9,0,2,15.0,13.2,16.0
26,5.0,2,3,8,0,2,10.0,6.6,20.0
38,4.6,4,3,8,0,2,10.0,10.4,37.0
25,4.8,3,4,3,0,2,15.0,12.7,16.0
29,4.7,4,1,8,0,2,5.0,23.4,23.0
37,4.7,4,2,8,0,1,15.0,8.2,17.0
37,4.9,2,3,3,0,2,15.0,4.0,29.0
34,4.2,5,4,3,0,3,8.0,19.7,36.0
32,4.6,3,1,8,0,2,15.0,20.9,29.0
26,4.6,5,2,3,0,1,7.0,8.2,10.0
22,4.8,6,4,8,0,1,5.0,11.4,14.0
26,4.8,3,1,9,0,2,7.0,13.3,10.0
38,4.1,2,1,3,0,2,15.0,36.25,37.0
26,4.5,6,2,6,0,2,5.0,21.3,15.0
28,4.6,6,3,9,0,1,12.0,8.4,14.0
33,4.6,2,4,3,0,2,10.0,24.1,40.0
36,4.0,3,4,3,0,2,10.0,20.6,51.5
23,4.7,1,4,6,0,1,5.0,11.1,13.0
23,4.6,1,1,3,0,1,8.0,13.0,16.0
30,4.9,1,4,9,0,1,10.0,21.9,29.0
33,4.6,2,2,12,1,2,15.0,29.1,40.0
25,4.8,6,4,6,0,1,10.0,25.3,26.0
36,4.5,5,1,9,0,2,10.0,3.7,21.0
21,4.8,2,1,3,0,1,5.0,2.7,18.0
33,4.3,3,2,12,0,2,15.0,13.2,33.0
27,4.6,6,1,6,0,2,15.0,6.7,17.0
34,5.0,1,3,3,0,2,15.0,10.6,25.0
28,4.9,5,4,3,0,2,5.0,14.2,29.0
38,4.1,3,4,6,0,2,5.0,27.9,35.0
27,5.0,1,1,6,0,1,5.0,5.0,19.0
30,4.0,6,4,3,1,2,10.0,15.3,47.0
20,4.7,3,2,6,0,2,15.0,29.5,19.0
25,4.4,5,3,3,0,2,15.0,9.3,34.0
29,4.9,5,3,6,0,1,15.0,4.4,23.0
20,4.5,6,1,6,0,1,10.0,2.4,18.0
32,4.9,2,1,6,0,1,5.0,9.1,18.0
32,4.8,2,2,6,0,2,15.0,7.9,17.0
27,4.8,3,1,6,0,2,10.0,3.8,12.0
39,4.6,2,1,12,0,2,10.0,2.3,19.0
21,5.0,1,2,12,0,1,10.0,7.6,12.0
27,4.1,4,4,8,0,3,10.0,25.4,33.0
36,5.0,1,1,8,0,1,10.0,5.5,15.0
39,4.1,4,1,6,0,2,15.0,17.1,38.0
38,4.7,6,3,12,0,2,10.0,6.2,34.0
30,4.1,4,1,12,0,2,10.0,14.8,32.0
37,4.3,4,1,12,0,1,5.0,26.0,35.0
30,4.8,6,4,12,0,1,5.0,11.4,30.0
37,3.5,3,2,12,0,1,15.0,27.3,39.0
32,4.6,2,2,8,0,1,15.0,13.2,16.0
39,4.6,3,4,6,0,2,5.0,6.5,33.0
37,4.6,5,1,12,0,2,10.0,4.8,27.0
32,4.7,1,1,6,0,2,10.0,12.05,16.0
21,4.5,2,1,6,0,2,10.0,17.5,20.0
30,4.7,5,3,8,0,1,15.0,10.0,29.0
21,5.0,5,3,3,0,1,5.0,17.2,17.0
39,4.7,1,4,12,0,1,5.0,10.05,18.0
39,4.9,1,1,12,0,1,8.0,7.9,10.0
27,4.5,3,4,6,0,2,8.0,13.9,31.0
36,3.5,6,4,6,0,1,5.0,19.3,40.0
24,4.8,5,2,8,0,2,8.0,27.2,20.0
39,5.0,4,2,3,0,2,5.0,14.0,35.0
23,4.4,6,1,3,0,2,10.0,5.2,24.0
21,5.0,3,1,6,0,1,8.0,10.2,13.0
26,4.8,4,4,9,0,3,5.0,28.9,43.0
23,4.9,4,1,6,0,2,5.0,4.5,10.0
38,4.9,2,4,3,0,2,10.0,9.6,28.0
34,4.8,2,2,12,0,2,10.0,7.6,17.0
28,4.8,5,4,8,0,2,10.0,18.1,22.0
26,4.7,5,4,3,0,2,5.0,6.9,26.0
